Date_Param,Aceh,Bali,Banten,Bengkulu,DI Yogyakarta,Gorontalo,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara
2022-02-19,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,41500.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-20,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,37850.0,75000.0,45000.0,32700.0,41500.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,42500.0,35950.0
2022-02-21,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,25000.0,75000.0,45000.0,32700.0,41500.0,36100.0,65000.0,75000.0,12250.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,30850.0,35950.0
2022-02-22,29350.0,19250.0,18250.0,40850.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,25000.0,75000.0,45000.0,32700.0,41500.0,36100.0,65000.0,75000.0,20500.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,30850.0,35950.0
2022-02-23,29350.0,19250.0,18250.0,24350.0,32850.0,39000.0,29050.0,18700.0,19500.0,71000.0,33200.0,25000.0,75000.0,45000.0,32700.0,41500.0,36100.0,65000.0,75000.0,20500.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,44000.0,32500.0,39000.0,30850.0,35950.0
2022-02-24,29350.0,19250.0,18250.0,24350.0,32850.0,39000.0,26750.0,18700.0,20850.0,71000.0,33200.0,25000.0,75000.0,45000.0,32700.0,41500.0,36100.0,65000.0,75000.0,20500.0,30000.0,44200.0,73150.0,35000.0,30000.0,34350.0,20000.0,43650.0,32500.0,39000.0,30850.0,35950.0
2022-02-25,29100.0,19250.0,18250.0,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,48350.0,85000.0,40350.0,41500.0,36100.0,59350.0,75584.05330206185,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-02-26,29100.0,19250.0,18250.0,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,48350.0,85000.0,40350.0,41500.0,36100.0,59350.0,75700.13078478347,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-02-27,29100.0,19250.0,18250.0,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,48350.0,85000.0,40350.0,41500.0,36100.0,59350.0,76260.04704288045,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-02-28,29100.0,19250.0,18250.0,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,48350.0,85000.0,40350.0,41500.0,36100.0,59350.0,76331.82689777997,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-01,29100.0,19250.0,18250.000000001895,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76429.823923612,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-02,29100.0,19250.0,18250.000000005755,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76070.26639967624,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
2022-03-03,29100.0,19250.0,18250.000000010976,24350.0,32850.0,44000.0,24500.0,22150.0,27600.0,55000.0,29850.0,25000.0,37500.0,85000.0,40350.0,41500.0,36100.0,59350.0,76248.45779947456,20500.0,30000.0,61650.0,32250.0,30000.0,40750.0,36000.0,29850.0,43650.0,46000.0,23350.0,30850.0,23500.0
