Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-03-27,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-03-28,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-03-29,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-03-30,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-03-31,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-01,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-02,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-03,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-04,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-05,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-06,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-07,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-08,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-09,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-10,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-11,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-12,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-13,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-14,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-15,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-16,53550.0,28750.0,22450.0,25650.0,37500.0,48750.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-17,53650.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-18,53650.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-19,53650.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-20,53650.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,39200.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-21,53550.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,35000.0,49500.0,56350.0,66250.0,56750.0,54050.0,59200.0,53350.0,50000.0,75000.0,80000.0,57500.0,52500.0,106650.0,50000.0,47500.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-22,52000.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,35000.0,49500.0,56350.0,66250.0,52450.0,54050.0,59200.0,53350.0,50000.0,39000.0,80000.0,57500.0,52500.0,106650.0,50000.0,40000.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-23,51700.0,28750.0,22450.0,25650.0,37500.0,52500.0,31350.0,35000.0,49500.0,47950.0,66250.0,52450.0,54050.0,59200.0,53350.0,50000.0,39000.0,80000.0,57500.0,52500.0,106650.0,50000.0,40000.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-24,49650.0,28750.0,21100.0,25650.0,37500.0,52500.0,31350.0,35000.0,49500.0,47950.0,37500.0,43600.0,49900.0,59200.0,53350.0,36650.0,39000.0,80000.0,57500.0,44200.0,106650.0,50000.0,40000.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-25,49650.0,28750.0,21100.0,25650.0,37500.0,52500.0,31350.0,35000.0,49500.0,47950.0,37500.0,43600.0,49900.0,59200.0,53350.0,36650.0,39000.0,80000.0,57500.0,44200.0,106650.0,50000.0,40000.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-26,49650.0,28750.0,21100.0,25650.0,37500.0,52500.0,31350.0,35000.0,49500.0,47950.0,37500.0,43600.0,49900.0,59200.0,53350.0,36650.0,39000.0,80000.0,57500.0,44200.0,106650.0,50000.0,40000.0,51000.0,27500.0,60950.0,63350.0,31400.0,48350.0,67500.0,79200.0,82500.0
2026-04-27,38900.0,19400.0,14000.0,22650.0,25000.0,52500.0,31350.0,35000.0,38350.0,47950.0,37500.0,39950.0,37250.0,40350.0,37200.0,36650.0,39000.0,45000.0,36150.0,44200.0,51650.0,50000.0,40000.0,38650.0,23600.0,30600.0,51650.0,40650.0,48350.0,63500.0,50850.0,49250.0
2026-04-28,38700.0,19400.0,14000.0,22650.0,25000.0,52500.0,32000.0,35000.0,38350.0,47950.0,37500.0,39950.0,37250.0,40350.0,37200.0,36650.0,39000.0,45000.0,36150.0,44200.0,51650.0,40000.0,40000.0,38650.0,23600.0,30600.0,51650.0,40650.0,48350.0,63500.0,50850.0,49250.0
2026-04-29,38700.0,19400.0,14000.0,22650.0,25000.0,52500.0,32000.0,35000.0,38350.0,47950.0,37500.0,39950.0,37250.0,40350.0,37200.0,36650.0,39000.0,45000.0,36150.0,44200.0,51650.0,40000.0,40000.0,38650.0,23600.0,30600.0,51650.0,40650.0,48350.0,63500.0,50850.0,49250.0
2026-04-30,38700.0,19400.0,14000.0,22650.0,25000.0,52500.0,32000.0,35000.0,38350.0,47950.0,37500.0,39950.0,37250.0,40350.0,37200.0,36650.0,39000.0,45000.0,36150.0,44200.0,51650.0,40000.0,40000.0,38650.0,23600.0,30600.0,51650.0,40650.0,48350.0,63500.0,50850.0,49250.0
