Date_Param,Semua Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
2026-03-19,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-20,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-21,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-22,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-23,31600.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,20650.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-24,32000.0,31050.0,29850.0,43700.0,32000.0,50000.0,22000.0,34250.0,27500.0,40000.0,45900.0,38000.0,37400.0,22200.0,32350.0,23800.0,28000.0,33200.0,38750.0,32500.0,25000.0,35450.0,45000.0,20000.0,6450.0,19450.0,23150.0,24000.0,22500.0,20000.0,40000.0,66700.0,33150.0
2026-03-25,33850.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,31300.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,26350.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-03-26,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-03-27,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-03-28,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
2026-03-29,34000.0,20250.0,18850.0,36850.0,34450.0,50000.0,32000.0,26600.0,25000.0,31650.0,33150.0,39750.0,45200.0,24200.0,37200.0,29950.0,28500.0,33200.0,53750.0,42500.0,26700.0,30850.0,45000.0,12500.0,11750.0,30900.0,32500.0,28350.0,29000.0,21650.0,46250.0,65700.0,64550.0
